store_location_key,region,province,city,postal_code,banner,store_num
1794,"NA","ONTARIO","LONDON","NA","dc35b695",1794
42,"NA","ONTARIO","TORONTO","NA","dc35b695",42
7218,"NA","ALBERTA","SLAVE LAKE","NA","6e36648",7218
7196,"NA","BRITISH COLUMBIA","VICTORIA","NA","6e36648",7196
7167,"NA","BRITISH COLUMBIA","SURREY","NA","6e36648",7167
7518,"NA","ALBERTA","STONEWALL","NA","6e36648",7518
2022,"NA","ONTARIO","OTTAWA","NA","dc35b695",2022
8611,"NA","ALBERTA","DRUMHELLER","NA","235704e1",8611
5023,"NA","ONTARIO","BARRIE","NA","b2e9116e",5023
8101,"NA","ONTARIO","LONDON","NA","6e36648",8101
7202,"NA","ALBERTA","WHITECOURT","NA","6e36648",7202
1388,"NA","ONTARIO","BARRIE","NA","dc35b695",1388
7262,"NA","ALBERTA","CALGARY","NA","6e36648",7262
7315,"NA","SASKATCHEWAN","MOOSOMIN","NA","6e36648",7315
8134,"NA","ONTARIO","OTTAWA","NA","6e36648",8134
18,"NA","ONTARIO","TORONTO","NA","dc35b695",18
8544,"NA","ONTARIO","LONDON","NA","235704e1",8544
7263,"NA","ALBERTA","CALGARY","NA","6e36648",7263
9607,"NA","ONTARIO","KINGSTON","NA","6e36648",9607
2340,"NA","ONTARIO","ORANGEVILLE","NA","dc35b695",2340
4822,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4822
7181,"NA","BRITISH COLUMBIA","NANAIMO","NA","6e36648",7181
7158,"NA","BRITISH COLUMBIA","VANCOUVER","NA","6e36648",7158
646,"NA","ONTARIO","PEMBROKE","NA","dc35b695",646
828,"NA","ONTARIO","NORTH YORK","NA","dc35b695",828
3863,"NA","ONTARIO","REXDALE","NA","dc35b695",3863
7198,"NA","BRITISH COLUMBIA","VICTORIA","NA","6e36648",7198
7130,"NA","BRITISH COLUMBIA","KELOWNA","NA","6e36648",7130
7211,"NA","ALBERTA","SWAN HILLS","NA","6e36648",7211
4815,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4815
7508,"NA","ALBERTA","SW CALGARY","NA","6e36648",7508
7182,"NA","BRITISH COLUMBIA","VANCOUVER","NA","6e36648",7182
1297,"NA","ONTARIO","WOODBRIDGE","NA","dc35b695",1297
1131,"NA","ONTARIO","KINGSTON","NA","dc35b695",1131
760,"NA","ONTARIO","WILLOWDALE","NA","dc35b695",760
9993,"NA","BRITISH COLUMBIA","BC","NA","6e36648",9993
7258,"NA","ALBERTA","CALGARY","NA","6e36648",7258
7293,"NA","ALBERTA","SHERWOOD PARK","NA","6e36648",7293
133,"NA","ONTARIO","TORONTO","NA","dc35b695",133
7289,"NA","ALBERTA","CALGARY","NA","6e36648",7289
7404,"NA","MANITOBA","WINNIPEG","NA","6e36648",7404
2378,"NA","ONTARIO","MISSISSAUGA","NA","dc35b695",2378
331,"NA","ONTARIO","CHATHAM","NA","dc35b695",331
8624,"NA","NEW BRUNSWICK","CARAQUET","NA","235704e1",8624
5103,"NA","ONTARIO","EXETER","NA","6e36648",5103
9601,"NA","ONTARIO","OSHAWA","NA","6e36648",9601
1438,"NA","ONTARIO","BRAMPTON","NA","dc35b695",1438
4816,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4816
7180,"NA","BRITISH COLUMBIA","LADYSMITH","NA","6e36648",7180
7161,"NA","BRITISH COLUMBIA","MISSION","NA","6e36648",7161
547,"NA","ONTARIO","BRIGHTON","NA","dc35b695",547
4945,"NA","MANITOBA","WINNIPEG","NA","dc35b695",4945
