store_location_key,product_key,collector_key,trans_dt,sales,units,trans_key
9807,83215400105,-1,"2015-09-09",42.72,1,198159807567120150909818
9807,6024538816,-1,"2015-10-28",27.57,1,2171898075671201510281549
1396,999999999999513,139517343969,"2015-06-18",62.44,1,60818613961182201506181635
9604,999999999999513,-1,"2015-12-09",0.00,1,672879604118220151209919
9604,999999999999513,-1,"2015-12-04",0.00,1,671159604118220151204726
1396,999999999999513,-1,"2015-10-31",7.32,1,62208013961182201510311351
1396,999999999999513,-1,"2015-08-11",64.51,1,61362813961182201508111206
9604,999999999999513,-1,"2015-11-26",0.00,1,6676096041182201511261012
4823,999999999999513,134466064080,"2015-09-15",20.72,1,3495148231182201509151324
9604,999999999999513,-1,"2015-11-27",0.00,1,6681596041182201511271041
1396,5849682960,-1,"2016-01-18",3.19,1,62982513961182201601181444
1396,6210000000,-1,"2015-08-08",4.97,1,61336513961182201508081316
9604,999999999999513,-1,"2016-01-04",0.00,1,6817596041182201601041202
1396,6700000491,-1,"2015-10-22",6.21,1,62125713961182201510221916
4823,999999999999513,-1,"2015-06-15",62.05,2,3110348231182201506151331
1396,999999999999513,-1,"2015-10-26",51.03,1,62155913961182201510261451
1396,999999999999142,-1,"2015-10-09",0.00,1,62000013961182201510091755
9604,999999999999513,-1,"2015-12-17",0.00,1,675929604118220151217940
9604,999999999999513,-1,"2015-11-24",8.90,1,6666596041182201511241246
9604,999999999999513,-1,"2015-12-22",0.00,1,6779296041182201512221359
1396,6800001229,-1,"2015-08-02",3.19,1,61268513961182201508021234
9604,999999999999513,-1,"2015-08-16",8.90,1,6364896041182201508161054
1396,999999999999513,-1,"2015-04-09",61.69,1,60063013961182201504091955
9807,5760618055,-1,"2015-11-03",4.43,1,2192498075671201511031036
9604,999999999999513,-1,"2015-12-10",0.00,1,6736096041182201512101438
1396,999999999999513,-1,"2015-12-23",68.99,1,62752513961182201512231159
4823,999999999999513,-1,"2015-05-06",10.25,1,2935948231182201505061517
1396,999999999999142,-1,"2015-07-25",0.00,1,61193413961182201507251030
1396,999999999999142,-1,"2015-08-28",0.00,1,61553313961182201508282031
1396,999999999999513,-1,"2015-08-21",7.55,1,61481113961182201508211339
4823,999999999999513,134542895920,"2015-08-17",28.91,1,3374648231182201508171141
1396,999999999999513,-1,"2015-03-31",45.75,1,59958213961182201503311625
9604,999999999999513,-1,"2015-04-28",8.90,1,6164996041182201504281016
1396,999999999999513,-1,"2015-04-09",0.00,1,6004911396118220150409947
1396,7339000011,141237957890,"2015-06-24",3.01,1,60876013961182201506241414
1396,77105880051,-1,"2015-05-24",2.47,1,60549213961182201505241145
9604,999999999999513,-1,"2015-12-10",0.00,1,6732796041182201512101011
1396,999999999999142,134506730140,"2015-10-23",0.00,1,62132613961182201510231249
9604,999999999999513,-1,"2015-12-22",0.00,1,6779796041182201512221517
9604,999999999999513,-1,"2015-11-30",0.00,1,668779604118220151130912
4823,999999999999513,-1,"2015-09-10",0.00,1,3479448231182201509101304
