collector_key,trans_dt,store_location_key,product_key,sales,units,trans_key
-1,6/26/2015,8142,4319416816,9.42,1,1.69455E+25
-1,10/25/2015,8142,6210700491,24.9,1,3.40018E+25
-1,9/18/2015,8142,5873832611,12.09,1,1.72748E+25
-1,9/14/2015,8142,77105810243,20.45,1,4.14528E+24
-1,4/18/2015,8142,5610007708,10.31,1,2.64158E+25
-1,7/3/2015,8142,78616265005,5.32,1,1.69719E+26
-1,12/11/2015,8142,4740007371,42.7,1,1.76703E+26
-1,5/6/2015,8142,6454130695,46.26,1,2.72608E+25
-1,4/1/2015,8142,77105810774,17.78,1,3.28718E+24
-1,1/2/2016,8142,18021700046,64.06,1,3.68318E+25
-1,9/26/2015,8142,1E+15,0,1,1.73203E+26
-1,9/3/2015,8142,77105880125,1.76,1,3.18028E+23
1.41218E+11,7/22/2015,8142,66573000613,3.49,1,1.70423E+25
-1,10/28/2015,8142,1E+15,0,1,4.36608E+24
-1,9/26/2015,8142,1E+15,0,1,3.28758E+25
-1,6/24/2015,8142,85122800007,37.36,1,2.92418E+25
-1,4/14/2015,8142,77105840212,15.27,2,1.67213E+25
-1,12/4/2015,8142,1E+15,0,1,1.76354E+26
-1,6/26/2015,8142,1E+15,0,1,3.75418E+24
-1,10/2/2015,8142,1E+15,0,1,4.23408E+24
-1,11/12/2015,8142,8390000626,5.14,1,4.44558E+24
-1,4/2/2015,8142,77105810778,14.22,1,1.669E+26
1.4115E+11,12/4/2015,8142,1E+15,0,1,3.55698E+24
-1,8/8/2015,8142,1E+15,0,1,3.08958E+25
-1,5/7/2015,8142,1E+15,47.33,1,3.48768E+24
-1,8/29/2015,8142,1E+15,0,1,3.15438E+24
-1,11/16/2015,8142,6132834208,14.22,1,3.48318E+25
-1,12/1/2015,8142,1E+15,5.34,1,3.54808E+24
-1,5/8/2015,8142,1E+15,0,1,2.73378E+25
-1,10/10/2015,8142,1E+15,0,1,4.27318E+24
1.39486E+11,4/23/2015,8142,80490600502,8.9,1,1.67394E+26
-1,7/2/2015,8142,1E+15,1.07,1,3.78338E+24
-1,11/21/2015,8142,36519734430,35.58,1,1.75698E+26
-1,5/1/2015,8142,77141200005,3.38,1,2.70218E+25
-1,10/9/2015,8142,77105810491,7.1,1,1.73814E+26
-1,7/28/2015,8142,1E+15,161.78,1,3.91328E+24
-1,11/4/2015,8142,1E+15,7.32,1,4.40188E+24
-1,11/15/2015,8142,1E+15,0,1,4.45438E+24
-1,5/5/2015,8142,5532503655,26.68,1,2.71818E+25
-1,10/2/2015,8142,77105880035,1.58,1,3.31528E+24
1.41259E+11,12/16/2015,8142,6285176405,2.65,1,4.60408E+24
-1,4/24/2015,8142,1E+15,0,2,3.41308E+24
-1,12/6/2015,8142,1E+15,0,1,3.56448E+25
-1,10/9/2015,8142,1125000000,5.32,1,3.34548E+24
-1,9/5/2015,8142,5559943711,16,1,3.19148E+25
-1,4/17/2015,8142,1E+15,0,1,1.6728E+26
-1,11/10/2015,8142,3600040679,69.4,1,1.75251E+26
-1,10/10/2015,8142,6210700492,37.36,1,3.34978E+24
-1,11/26/2015,8142,1E+15,10.82,1,4.50388E+24
-1,10/30/2015,8142,1E+15,0,1,4.38018E+24
-1,4/1/2015,8142,41410000216,49.84,1,1.66848E+25
-1,3/31/2015,8142,1E+15,36.58,5,3.28018E+24
