collector_key,trans_dt,store_location_key,product_key,sales,units,trans_id
-1,10/28/2015,6973,1E+15,0,,3.15756E+25
-1,7/24/2015,6973,77105810883,8.53,,3.1217E+25
1.41179E+11,12/14/2015,6973,30041060552,11.55,,3.17556E+25
-1,4/10/2015,6973,1E+15,0,,3.07632E+25
1.39518E+11,10/14/2015,6973,1E+15,0,,3.15205E+24
-1,7/30/2015,6973,1E+15,0,,3.12401E+24
1.37299E+11,5/20/2015,6973,77105880035,1.58,,3.09313E+25
-1,12/11/2015,6973,1E+15,8.88,,3.17531E+25
-1,1/8/2016,6973,62455802158,32.02,,3.18461E+25
-1,5/22/2015,6973,1E+15,73.96,,3.09449E+24
-1,11/5/2015,6973,1E+15,0,,3.16129E+25
-1,11/6/2015,6973,6490040955,3.54,,3.16187E+25
-1,9/30/2015,6973,6700000928,2.12,,3.14677E+25
-1,11/13/2015,6973,1E+15,0,,3.16456E+25
-1,11/13/2015,6973,1E+15,184.11,,2.07837E+24
1.39477E+11,12/21/2015,6973,6202000541,3.54,,3.17835E+24
-1,12/14/2015,6973,1E+15,0,,3.17553E+25
-1,1/30/2016,7167,7940009051,5.86,,6.11717E+22
-1,1/27/2016,7167,1E+15,38.82,,2.45717E+22
-1,12/29/2015,6973,5980000060,3.36,,3.18129E+25
-1,7/29/2015,6973,1E+15,7.12,,3.12352E+25
-1,7/30/2015,6973,1E+15,22.75,,3.12436E+25
-1,1/26/2016,7167,1E+15,26.74,,1.51717E+22
-1,5/1/2015,6973,1E+15,0,,3.08576E+25
-1,10/19/2015,6973,1E+15,0,,3.1538E+25
-1,10/21/2015,6973,1E+15,11.64,,3.15476E+25
-1,11/13/2015,6973,1E+15,14.63,,2.07927E+24
-1,12/18/2015,6973,1E+15,7.32,,3.17794E+25
-1,1/25/2016,6973,1E+15,0,,3.19142E+25
1.47841E+11,9/3/2015,6973,1E+15,1.78,,3.13667E+25
-1,1/11/2016,6973,1E+15,53.92,,3.18546E+25
-1,10/30/2015,6973,77105810211,11.55,,3.15849E+25
-1,1/7/2016,6973,1E+15,29.46,,3.18421E+25
-1,12/23/2015,6973,6700000829,2.3,,3.1803E+25
-1,12/9/2015,6973,1E+15,58.53,,2.08787E+23
-1,10/16/2015,6973,1E+15,1.78,,3.1532E+25
-1,9/4/2015,6973,1E+15,8.88,,3.13693E+25
-1,7/3/2015,6973,1E+15,0,,3.11309E+24
-1,1/28/2016,7167,1E+15,41.81,,3.86717E+22
-1,9/29/2015,6973,1E+15,2.17,,3.14651E+25
